No,Sector_score,LOCATION_ID,PARA_A,SCORE_A,PARA_B,SCORE_B,TOTAL,numbers,Marks,Money_Value,MONEY_Marks,District,Loss,LOSS_SCORE,History,History_score,Score,Risk
1,3.89,2,0,2,3.72,2,3.72,5,2,0,2,2,0,2,9,6,2.4,1
2,2.37,6,2.51,6,8.59,6,11.1,5.5,4,16.03,6,2,0,2,5,6,4.8,1
3,2.37,2,17.53,6,0,2,17.53,6.5,6,94.75,6,6,0,2,4,6,4.4,1
4,2.36,1,1.71,4,0,2,1.71,6.5,6,88.4,6,6,0,4,4,6,4.4,1
5,3.89,8,10,6,74.26,6,84.26,5.5,4,11.16,6,2,0,2,3,6,4.8,1
6,3.41,2,1.35,4,66.35,6,67.7,5.5,4,27.13,6,2,0,2,3,6,4.6,1
7,55.57,2,6.48,6,43.08,6,49.56,5,2,253.12,6,6,0,2,2,6,4.8,1
8,3.89,9,8.46,6,72.76,6,81.22,5,2,1.4,2,2,1,4,2,6,4.2,1
9,3.89,11,6.67,6,18.02,6,24.69,5.5,4,4.95,2,2,0,2,2,6,4.4,1
10,3.89,21,0,2,20.71,6,20.71,5,2,20.79,6,2,0,2,2,6,4,1
11,3.41,8,8.03,6,94.43,6,102.46,5.5,4,10.65,6,2,0,2,2,6,4.8,1
12,3.41,12,25.4,6,51.74,6,77.14,5,2,12.67,6,6,0,2,2,6,4.8,1
13,2.72,2,4.28,6,1264.63,6,1268.91,5.5,4,58.86,6,6,0,2,2,6,5.2,1
14,2.72,18,5.11,6,53.76,6,58.87,6,6,48.56,6,2,0,2,2,6,5.2,1
15,2.37,27,3.61,6,2.13,6,5.74,5,2,5.41,4,2,1,4,2,6,4.4,1
16,59.85,1,1.94,4,6.69,6,8.63,5.5,4,13.3,6,6,0,2,1,4,4.8,1
17,55.57,19,3.14,6,4.97,6,8.11,5,2,6.41,4,2,0,2,1,4,4,1
18,15.56,2,20.65,6,0,2,0,6,6,397.31,6,6,0,2,1,4,4.2,1
19,3.89,38,0,2,63.13,6,63.13,5,2,14.6,6,2,0,2,1,4,3.8,1
20,3.89,8,15.38,6,40.14,6,55.52,5,2,0.96,2,2,1,4,1,4,4,1
21,3.89,36,10.96,6,41.47,6,52.43,5,2,35.21,6,2,0,2,1,4,4.2,1
22,3.89,16,4.95,6,42.61,6,47.56,5,2,3.46,2,6,0,2,1,4,4.2,1
23,3.89,37,8.54,6,31.63,6,40.17,5,2,41.28,6,2,0,2,1,4,4.2,1
24,3.89,15,6.59,6,23.66,6,30.25,5,2,34.83,6,2,0,2,1,4,4.2,1
25,3.89,3,5.31,6,22.79,6,28.1,5,2,205.19,6,2,0,2,1,4,4.2,1
26,3.89,24,6.26,6,14.1,6,20.36,5,2,34.24,6,2,0,2,1,4,4.2,1
27,3.89,12,8.81,6,9.02,4,17.83,5,2,215.31,6,2,0,2,1,4,3.6,1
28,3.89,12,4.76,6,13.03,6,17.79,5,2,0.58,2,2,0,2,1,4,3.8,1
29,3.89,8,5.47,6,7.63,4,13.1,5,2,10.43,6,2,0,2,1,4,3.6,1
30,3.89,33,2.57,6,4.49,2,7.06,5,2,7.56,4,2,0,2,1,4,2.8,1
31,3.41,16,11.73,6,85.87,6,97.6,5,2,6.96,4,2,0,2,1,4,4,1
32,3.41,14,16.53,6,72.99,6,89.52,5,2,5.49,4,2,0,2,1,4,4,1
33,3.41,12,3.21,6,72.07,6,75.28,5,2,13.79,6,6,0,2,1,4,4.6,1
34,3.41,8,1.98,4,67.91,6,69.89,5.5,4,18.79,6,2,0,2,1,4,4.4,1
35,3.41,9,17.26,6,44.22,6,61.48,5,2,27.68,6,2,0,2,1,4,4.2,1
36,3.41,18,1.98,4,51.42,6,53.4,5.5,4,20.33,6,2,0,2,1,4,4.4,1
37,3.41,32,2,6,49.19,6,51.19,5,2,60.88,6,2,0,2,1,4,4.2,1
38,3.41,9,12.28,6,20.62,6,32.9,5,2,10.16,6,2,0,2,1,4,4.2,1
39,2.72,13,3.84,6,144.39,6,148.23,5,2,19.68,6,2,1,4,1,4,4.4,1
40,2.72,12,7.42,6,115.87,6,123.29,6,6,6.79,4,2,0,2,1,4,4.8,1
41,2.72,29,4.9,6,98.71,6,103.61,5.5,4,82.99,6,2,0,2,1,4,4.6,1
42,2.72,9,3.99,6,92.05,6,96.04,5,2,15.14,6,2,0,2,1,4,4.2,1
43,2.72,32,5.68,6,67.38,6,73.06,5,2,86.7,6,2,0,2,1,4,4.2,1
44,2.37,22,2.39,6,7.72,6,10.11,5,2,5.42,4,2,0,2,1,4,4,1
45,2.37,19,1.9,4,7.97,6,9.87,5,2,8.6,4,2,0,2,1,4,3.8,1
46,2.37,5,2.22,6,3.4,6,5.62,5,2,26.28,6,2,0,2,1,4,4.2,1
47,2.37,18,3.43,6,1,4,4.43,5.5,4,49.31,6,2,1,4,1,4,4.2,1
48,2.37,15,2.6,6,1.14,4,3.74,5,2,8.76,4,2,0,2,1,4,3.4,1
49,2.34,2,3.95,6,0,2,0,5.5,4,83.96,6,6,0,2,1,4,3.8,1
50,1.85,9,0.64,2,0.95,2,1.59,5,2,0,2,2,0,2,1,4,2.2,1
51,59.85,21,0.39,2,0.39,2,0.78,5,2,0.17,2,4,0,2,0,2,2.2,1
52,59.85,21,0.42,2,0,2,0.42,5,2,0,2,4,0,2,0,2,2.2,1
53,59.85,4,0.27,2,0,2,0.27,5,2,16.09,6,2,0,2,0,2,2.4,1
54,59.85,21,0.21,2,0,2,0.21,5,2,0.33,2,4,0,2,0,2,2.2,1
55,59.85,13,0.07,2,0,2,0.07,5,2,10.4,6,2,0,2,0,2,2.4,1
56,59.85,18,0,2,0,2,0,5,2,1.3,2,4,0,2,0,2,2.2,1
57,59.85,2,0,2,0,2,0,5,2,1.2,2,2,1,4,0,2,2.2,1
58,55.57,2,2.59,6,111.9,6,114.49,5,2,8.47,4,6,0,2,0,2,4.2,1
59,55.57,12,0,2,11.68,6,11.68,5,2,0,2,2,0,2,0,2,3.2,1
60,55.57,6,2.24,6,7.26,6,9.5,5,2,0.24,2,2,0,2,0,2,3.6,1
61,55.57,8,0.45,2,8.27,6,8.72,5,2,9.43,4,4,0,2,0,2,3.6,1
62,55.57,32,0,2,8.49,6,8.49,5,2,0.43,2,2,0,2,0,2,3.2,1
63,55.57,9,2.54,6,5.52,6,8.06,5,2,0.49,2,2,0,2,0,2,3.6,1
64,55.57,13,2.45,6,5.47,6,7.92,5,2,5.61,4,2,0,2,0,2,3.8,1
65,55.57,12,3.1,6,4.66,6,7.76,5,2,0.59,2,2,0,2,0,2,3.6,1
66,55.57,8,1.7,4,5.91,6,7.61,5,2,3.68,2,4,0,2,0,2,3.6,1
67,55.57,18,1.45,4,5.79,6,7.24,5,2,0.69,2,2,0,2,0,2,3.4,1
68,55.57,8,2.41,6,4.69,6,7.1,5,2,0.25,2,2,0,2,0,2,3.6,1
69,55.57,11,1.84,4,4.25,6,6.09,5,2,0.82,2,2,0,2,0,2,3.4,1
70,55.57,15,1.85,4,4.16,6,6.01,5,2,1.65,2,2,0,2,0,2,3.4,1
71,55.57,15,1.85,4,4.16,6,6.01,5,2,0.51,2,2,0,2,0,2,3.4,1
72,55.57,14,1.48,4,4.48,6,5.96,5,2,0,2,2,0,2,0,2,3.4,1
73,55.57,16,2.42,6,3.53,6,5.95,5,2,6.31,4,2,0,2,0,2,3.8,1
74,55.57,37,0.49,2,4.78,6,5.27,5,2,0,2,2,0,2,0,2,3.2,1
75,55.57,8,0,2,5.24,6,5.24,5,2,0,2,2,0,2,0,2,3.2,1
76,55.57,9,1.49,4,2.34,6,3.83,5,2,0.25,2,2,0,2,0,2,3.4,1
77,55.57,11,0.82,2,2.92,6,3.74,5,2,0,2,2,0,2,0,2,3.2,1
78,55.57,2,1.24,4,2.27,6,3.51,5,2,0,2,6,0,2,0,2,3.8,1
79,55.57,32,0.5,2,2.97,6,3.47,5,2,0.18,2,2,0,2,0,2,3.2,1
80,55.57,22,0,2,3.3,6,3.3,5,2,0,2,2,0,2,0,2,3.2,1
81,55.57,32,1.27,4,2,6,3.27,5,2,0.18,2,2,0,2,0,2,3.4,1
82,55.57,8,1.05,4,2.17,6,3.22,5,2,0,2,4,0,2,0,2,3.6,1
83,55.57,27,0,2,2.99,6,2.99,5,2,0.06,2,2,0,2,0,2,3.2,1
84,55.57,29,1.26,4,1.58,4,2.84,5,2,6.5,4,2,0,2,0,2,3,1
85,55.57,13,1.06,4,1.6,4,2.66,5,2,16.09,6,2,0,2,0,2,3.2,1
86,55.57,9,0.67,2,1.71,4,2.38,5,2,0,2,2,0,2,0,2,2.6,1
87,55.57,19,2.3,6,0,2,2.3,5,2,0,2,2,0,2,0,2,2.4,1
88,55.57,20,0.68,2,1.47,4,2.15,5,2,0,2,2,0,2,0,2,2.6,1
89,55.57,9,0.51,2,1.63,4,2.14,5,2,1.8,2,2,0,2,0,2,2.6,1
90,55.57,19,1.6,4,0.49,2,2.09,5,2,88.34,6,2,0,2,0,2,2.6,1
91,55.57,12,0.9,2,1.11,4,2.01,5,2,0,2,2,0,2,0,2,2.6,1
92,55.57,8,1.08,4,0.92,2,2,5,2,0.04,2,2,0,2,0,2,2.2,1
93,55.57,9,0,2,1.96,4,1.96,5,2,0.4,2,2,0,2,0,2,2.6,1
94,55.57,4,0.51,2,1.36,4,1.87,5,2,0,2,2,0,2,0,2,2.6,1
95,55.57,15,0.85,2,1,4,1.85,5,2,0.4,2,2,0,2,0,2,2.6,1
96,55.57,5,0.57,2,1.26,4,1.83,5,2,0.1,2,2,0,2,0,2,2.6,1
97,55.57,4,1.2,4,0.54,2,1.74,5,2,0.45,2,2,0,2,0,2,2.2,1
98,55.57,19,0,2,1.74,4,1.74,5,2,0,2,2,0,2,0,2,2.6,1
99,55.57,5,1.59,4,0.13,2,1.72,5,2,0.11,2,2,0,2,0,2,2.2,1
100,55.57,2,1.06,4,0.63,2,1.69,5,2,0.9,2,6,0,2,0,2,2.6,1
101,55.57,8,1.67,4,0,2,1.67,5,2,0.06,2,4,0,2,0,2,2.4,1
102,55.57,8,0.95,2,0.72,2,1.67,5,2,0,2,4,0,2,0,2,2.2,1
103,55.57,14,1.63,4,0,2,1.63,5,2,0,2,2,0,2,0,2,2.2,1
104,55.57,32,1.6,4,0,2,1.6,5,2,0,2,2,0,2,0,2,2.2,1
105,55.57,19,1.49,4,0,2,1.49,5,2,0,2,2,0,2,0,2,2.2,1
106,55.57,16,0.7,2,0.79,2,1.49,5.5,4,1.91,2,2,0,2,0,2,2.4,1
107,55.57,15,1.4,4,0.06,2,1.46,5,2,0,2,2,0,2,0,2,2.2,1
108,55.57,22,1.39,4,0,2,1.39,5,2,0,2,2,0,2,0,2,2.2,1
109,55.57,8,1.36,4,0,2,1.36,5,2,0,2,2,0,2,0,2,2.2,1
110,55.57,4,0,2,1.3,4,1.3,5,2,0,2,2,0,2,0,2,2.6,1
111,55.57,13,1.29,4,0,2,1.29,5,2,0,2,2,0,2,0,2,2.2,1
112,55.57,16,0,2,1.29,4,1.29,5,2,0,2,2,0,2,0,2,2.6,1
113,55.57,9,1.28,4,0,2,1.28,5,2,0.22,2,2,0,2,0,2,2.2,1
114,55.57,15,1.28,4,0,2,1.28,5,2,0,2,2,0,2,0,2,2.2,1
115,55.57,5,1.26,4,0,2,1.26,5,2,0,2,2,0,2,0,2,2.2,1
116,55.57,19,1.07,4,0.16,2,1.23,5,2,0,2,2,0,2,0,2,2.2,1
117,55.57,16,1.19,4,0,2,1.19,5,2,0,2,2,0,2,0,2,2.2,1
118,55.57,13,0,2,1.16,4,1.16,5,2,0,2,2,0,2,0,2,2.6,1
119,55.57,8,1.14,4,0,2,1.14,5,2,0,2,4,0,2,0,2,2.4,1
120,55.57,15,1.12,4,0,2,1.12,5,2,0,2,2,0,2,0,2,2.2,1
121,55.57,44,0.0006,2,1.11,4,1.1106,5,2,0,2,6,0,2,0,2,3,1
122,55.57,19,1.1,4,0,2,1.1,5,2,0,2,2,0,2,0,2,2.2,1
123,55.57,13,1.09,4,0,2,1.09,5,2,0,2,2,0,2,0,2,2.2,1
124,55.57,12,1.08,4,0,2,1.08,5,2,0,2,2,0,2,0,2,2.2,1
125,55.57,8,0.67,2,0.41,2,1.08,5,2,0.99,2,4,0,2,0,2,2.2,1
126,55.57,21,1.07,4,0,2,1.07,5,2,0,2,2,0,2,0,2,2.2,1
127,55.57,9,1.06,4,0,2,1.06,5,2,0,2,2,0,2,0,2,2.2,1
128,55.57,8,0.99,2,0,2,0.99,5,2,0,2,4,0,2,0,2,2.2,1
129,55.57,8,0.84,2,0,2,0.84,5,2,0,2,4,0,2,0,2,2.2,1
130,55.57,2,0.74,2,0,2,0.74,5,2,0,2,6,0,2,0,2,2.4,1
131,55.57,8,0.68,2,0,2,0.68,5,2,0,2,4,0,2,0,2,2.2,1
132,55.57,32,0.29,2,0.39,2,0.68,5.5,4,0.05,2,2,0,2,0,2,2.4,1
133,55.57,4,0.32,2,0,2,0.32,5,2,0,2,2,1,4,0,2,2.2,1
134,55.57,8,0.29,2,0,2,0.29,5,2,0,2,4,0,2,0,2,2.2,1
135,55.57,2,0,2,0,2,0,5.5,4,85.05,6,6,0,2,0,2,3.2,1
136,55.57,1,0,2,0,2,0,5,2,0,2,6,0,2,0,2,2.4,1
137,55.57,8,0,2,0,2,0,5,2,0,2,4,0,2,0,2,2.2,1
138,55.57,2,0,2,0,2,0,5,2,0,2,6,0,2,0,2,2.4,1
139,55.57,2,0,2,0,2,0,5,2,0,2,6,0,2,0,2,2.4,1
140,21.61,9,85,6,1.06,4,86.06,5,2,0,2,6,0,2,0,2,3.4,1
141,21.61,2,3.14,6,5.68,6,8.82,5.5,4,11.33,6,4,0,2,0,2,4.6,1
142,21.61,15,0.98,2,1.14,4,2.12,5,2,0,2,2,0,2,0,2,2.6,1
143,21.61,6,0.88,2,1.07,4,1.95,5,2,0.76,2,2,0,2,0,2,2.6,1
144,21.61,5,0.84,2,1.09,4,1.93,5,2,0,2,2,0,2,0,2,2.6,1
145,17.68,1,2.52,6,20.28,6,22.8,5,2,70.56,6,6,0,2,0,2,4.4,1
146,15.56,1,3.73,6,2.82,6,6.55,6,6,160.41,6,6,0,2,0,2,5.2,1
147,15.56,19,0,2,0,2,0,5,2,23.97,6,6,0,2,0,2,2.8,1
148,3.89,2,71.48,6,25.63,6,97.11,5,2,873.37,6,2,0,2,0,2,4,1
149,3.89,29,12.27,6,72.46,6,84.73,5,2,5.69,4,2,0,2,0,2,3.8,1
150,3.89,16,15.72,6,57.94,6,73.66,6,6,10.79,6,6,0,2,0,2,5.2,1
151,3.89,32,6.85,6,65.93,6,72.78,5.5,4,6.02,4,4,0,2,0,2,4.4,1
152,3.89,4,5.78,6,57.92,6,63.7,5,2,11.16,6,2,0,2,0,2,4,1
153,3.89,37,4.86,6,46.78,6,51.64,5.5,4,63.18,6,2,0,2,0,2,4.4,1
154,3.89,19,11.95,6,30.9,6,42.85,5,2,32.68,6,2,0,2,0,2,4,1
155,3.89,14,6.85,6,31.76,6,38.61,5,2,1.46,2,2,0,2,0,2,3.6,1
156,3.89,20,9.01,6,19.82,6,28.83,5,2,9.67,4,2,0,2,0,2,3.8,1
157,3.89,19,7.97,6,17.18,6,25.15,5,2,935.03,6,2,0,2,0,2,4,1
158,3.89,11,14.04,6,10.83,6,24.87,5,2,8.91,4,2,0,2,0,2,3.8,1
159,3.89,15,7.18,6,14.63,6,21.81,5,2,98.75,6,2,0,2,0,2,4,1
160,3.89,8,8.5,6,12.03,6,20.53,5.5,4,7.79,4,2,0,2,0,2,4.2,1
161,3.89,8,8.4,6,11.05,6,19.45,5.5,4,7.34,4,2,0,2,0,2,4.2,1
162,3.89,15,0.77,2,18.31,6,19.08,5,2,67.03,6,2,0,2,0,2,3.6,1
163,3.89,37,2.4,6,16.63,6,19.03,5,2,1.16,2,2,0,2,0,2,3.6,1
164,3.89,16,6.47,6,12.18,6,18.65,5,2,25.27,6,6,0,2,0,2,4.4,1
165,3.89,22,0,2,18.05,6,18.05,5,2,2.29,2,2,0,2,0,2,3.2,1
166,3.89,8,5.43,6,10.77,6,16.2,5,2,4.42,2,2,0,2,0,2,3.6,1
167,3.89,12,13.92,6,2.2,2,16.12,5,2,0.05,2,2,0,2,0,2,2.4,1
168,3.89,21,0,2,15.38,6,15.38,5,2,126.13,6,2,0,2,0,2,3.6,1
169,3.89,9,6.32,6,9.01,4,15.33,5,2,8.31,4,2,0,2,0,2,3.2,1
170,3.89,16,1.19,4,12.88,6,14.07,5,2,2.33,2,6,0,2,0,2,3.8,1
171,3.89,32,5.37,6,8.62,4,13.99,5,2,17.16,6,4,0,2,0,2,3.6,1
172,3.89,30,12.7,6,1.28,2,13.98,5,2,11.69,6,2,0,2,0,2,2.8,1
173,3.89,29,4.24,6,8.06,4,12.3,5,2,10.69,6,2,0,2,0,2,3.4,1
174,3.89,31,1.99,4,10.24,6,12.23,5,2,20.78,6,2,0,2,0,2,3.8,1
175,3.89,32,4.93,6,6.54,4,11.47,5.5,4,12.91,6,4,0,2,0,2,4,1
176,3.89,15,5.23,6,5.89,4,11.12,5,2,19.4,6,2,0,2,0,2,3.4,1
177,3.89,13,1.95,4,9.01,4,10.96,5,2,9,4,2,0,2,0,2,3,1
178,3.89,6,0,2,10.8,6,10.8,6,6,11.75,6,2,0,2,0,2,4.4,1
179,3.89,4,7.42,6,2.24,2,9.66,5,2,1.25,2,2,0,2,0,2,2.4,1
180,3.89,22,2.95,6,6.56,4,9.51,5,2,156.92,6,2,0,2,0,2,3.4,1
181,3.89,37,4.18,6,4.83,2,9.01,5.5,4,14.03,6,2,0,2,0,2,3.2,1
182,3.89,7,1.1,4,7.41,4,8.51,5,2,44.95,6,2,0,2,0,2,3.2,1
183,3.89,2,0,2,7.37,4,7.37,5,2,0.74,2,2,0,2,0,2,2.6,1
184,3.89,11,0,2,6.8,4,6.8,5,2,47.9,6,2,0,2,0,2,3,1
185,3.89,23,4.18,6,2.5,2,6.68,5,2,3.38,2,2,0,2,0,2,2.4,1
186,3.89,3,0.02,2,5.94,4,5.96,5,2,0.01,2,2,0,2,0,2,2.6,1
187,3.89,13,2.63,6,2.55,2,5.18,5,2,0,2,2,0,2,0,2,2.4,1
188,3.89,8,3.98,6,0.99,2,4.97,5,2,1.93,2,2,0,2,0,2,2.4,1
189,3.89,22,1.97,4,2.1,2,4.07,5,2,12.29,6,2,2,6,0,2,3,1
190,3.89,8,0,2,3.98,2,3.98,6,6,53.34,6,2,0,2,0,2,3.2,1
191,3.89,19,0,2,3.71,2,3.71,5,2,29.63,6,2,0,2,0,2,2.4,1
192,3.89,37,1.81,4,1.03,2,2.84,5,2,0,2,2,0,2,0,2,2.2,1
193,3.89,16,0,2,2.72,2,2.72,5,2,5.58,4,6,0,2,0,2,2.6,1
194,3.89,16,0,2,1.66,2,1.66,5,2,0.76,2,6,0,2,0,2,2.4,1
195,3.89,8,1.09,4,0.35,2,1.44,5,2,0,2,2,0,2,0,2,2.2,1
196,3.89,16,1.33,4,0,2,1.33,5,2,0.2,2,6,0,2,0,2,2.6,1
197,3.89,19,1.32,4,0,2,1.32,5,2,0.06,2,2,0,2,0,2,2.2,1
198,3.89,11,1.26,4,0.05,2,1.31,5,2,0,2,2,0,2,0,2,2.2,1
199,3.89,32,0.01,2,1.29,2,1.3,5.5,4,36.52,6,4,0,2,0,2,3,1
200,3.89,32,1.22,4,0.06,2,1.28,5,2,0,2,4,0,2,0,2,2.4,1
201,3.89,16,0,2,1.1,2,1.1,5,2,0,2,6,0,2,0,2,2.4,1
202,3.89,12,1.07,4,0,2,1.07,5,2,0,2,2,0,2,0,2,2.2,1
203,3.89,15,1,4,0,2,1,5,2,0.36,2,2,0,2,0,2,2.2,1
204,3.89,22,0,2,0.93,2,0.93,5,2,7.78,4,2,0,2,0,2,2.2,1
205,3.89,32,0,2,0.85,2,0.85,5,2,0,2,4,0,2,0,2,2.2,1
206,3.89,12,0,2,0.79,2,0.79,5,2,15.82,6,2,0,2,0,2,2.4,1
207,3.89,37,0,2,0.75,2,0.75,5,2,6.78,4,2,0,2,0,2,2.2,1
208,3.89,2,0.05,2,0.21,2,0.26,5.5,4,102.22,6,2,0,2,0,2,2.8,1
209,3.89,16,0,2,0.08,2,0.08,5,2,0.06,2,6,0,2,0,2,2.4,1
210,3.89,5,0,2,0.05,2,0.05,5,2,152.41,6,2,0,2,0,2,2.4,1
211,3.41,40,10.37,6,105.56,6,115.93,9,6,52.13,6,2,0,2,0,2,4.8,1
212,3.41,39,9.97,6,88.73,6,98.7,5,2,10.27,6,2,0,2,0,2,4,1
213,3.41,31,12.62,6,80.06,6,92.68,5.5,4,43.53,6,4,0,2,0,2,4.6,1
214,3.41,13,15.66,6,74.53,6,90.19,5,2,29.07,6,2,0,2,0,2,4,1
215,3.41,29,1.1,4,87.71,6,88.81,5.5,4,34.32,6,2,0,2,0,2,4.2,1
216,3.41,9,6.93,6,70.26,6,77.19,5,2,9.73,4,2,0,2,0,2,3.8,1
217,3.41,41,9.67,6,62.25,6,71.92,5.5,4,17.02,6,2,0,2,0,2,4.4,1
218,3.41,15,20.04,6,48.9,6,68.94,5,2,11.09,6,2,0,2,0,2,4,1
219,3.41,22,4.73,6,60.22,6,64.95,5,2,69.76,6,2,0,2,0,2,4,1
220,3.41,8,3.08,6,60.78,6,63.86,5,2,0.36,2,2,0,2,0,2,3.6,1
221,3.41,7,6.61,6,55.62,6,62.23,5,2,57.16,6,2,1,4,0,2,4.2,1
222,3.41,15,12.17,6,47,6,59.17,6,6,10.14,6,2,0,2,0,2,4.8,1
223,3.41,35,13.06,6,45.42,6,58.48,5,2,10.4,6,2,0,2,0,2,4,1
224,3.41,19,0.31,2,58.12,6,58.43,5,2,78.98,6,2,1,4,0,2,3.8,1
225,3.41,5,10,6,47.9,6,57.9,5,2,7.7,4,2,0,2,0,2,3.8,1
226,3.41,31,16.36,6,41.1,6,57.46,5,2,12.03,6,4,0,2,0,2,4.2,1
227,3.41,16,12.68,6,41,6,53.68,5.5,4,11.88,6,2,0,2,0,2,4.4,1
228,3.41,22,5.15,6,44.67,6,49.82,5.5,4,21.07,6,2,0,2,0,2,4.4,1
229,3.41,34,4.25,6,45.51,6,49.76,5.5,4,8.2,4,2,0,2,0,2,4.2,1
230,3.41,22,2.7,6,45.16,6,47.86,5,2,37.79,6,2,0,2,0,2,4,1
231,3.41,19,1.64,4,46.21,6,47.85,5,2,2.45,2,2,0,2,0,2,3.4,1
232,3.41,19,1.21,4,43.84,6,45.05,5.5,4,31.61,6,2,0,2,0,2,4.2,1
233,3.41,42,3.77,6,40.86,6,44.63,5,2,18,6,2,0,2,0,2,4,1
234,3.41,32,12.54,6,31.62,6,44.16,5,2,54.07,6,2,0,2,0,2,4,1
235,3.41,16,3.34,6,37.59,6,40.93,5,2,26.95,6,2,0,2,0,2,4,1
236,3.41,39,1.52,4,37.33,6,38.85,5.5,4,63.7,6,2,0,2,0,2,4.2,1
237,3.41,29,12.29,6,25.74,6,38.03,5,2,22.1,6,2,1,4,0,2,4.2,1
238,3.41,27,1.41,4,36.16,6,37.57,5,2,13.05,6,2,2,6,0,2,4.2,1
239,3.41,8,1.21,4,34.03,6,35.24,5,2,5.36,4,2,0,2,0,2,3.6,1
240,3.41,38,1.35,4,33.25,6,34.6,5.5,4,20.62,6,2,0,2,0,2,4.2,1
241,3.41,20,1.08,4,32.71,6,33.79,5,2,8.38,4,2,0,2,0,2,3.6,1
242,3.41,11,10.08,6,22.31,6,32.39,5.5,4,16.82,6,2,0,2,0,2,4.4,1
243,3.41,13,1.97,4,30.25,6,32.22,5,2,0.68,2,2,0,2,0,2,3.4,1
244,3.41,25,1.44,4,29.25,6,30.69,5,2,35.13,6,2,0,2,0,2,3.8,1
245,3.41,37,0.83,2,28.06,6,28.89,5,2,13.31,6,2,0,2,0,2,3.6,1
